,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2014-05-30,0.012311892819269157,-0.0006396851644573528,0.006530611212493888,0.005695804693322679,0.00041877274262550664,-0.0006396851644573528
2014-06-06,-0.00017289820303131517,-0.0019290458177525296,0.003108704142996011,0.006122419751912646,-0.0039027758567434906,-0.0019290458177525296
2014-06-13,-0.0009984392926590023,0.006049864452466101,0.0006072482341805631,-9.307640188508996e-05,0.006409614217345691,0.006049864452466101
2014-06-20,0.004486991096256753,0.009492149598786366,0.00792121289981971,0.009150385950698546,0.00811897392257354,0.009492149598786366
2014-06-27,0.007533211839673969,0.004407930366290823,0.004910313258382642,0.003740078420691238,0.004752337582560134,0.004407930366290823
2014-07-04,-0.001324454865560304,-0.0027052079673434556,0.001820623118418286,0.004598867296347545,-0.004791028999146286,-0.0027052079673434556
2014-07-11,0.00596956377185078,0.008141652525132605,0.0025660423395308754,-0.0006542321294389458,0.009663506855695453,0.008141652525132605
2014-07-18,0.006635608816598856,-0.0029739328276339235,0.0018048465876284723,0.0007322815593787218,-0.0024703283120703274,-0.0029739328276339235
2014-07-25,0.00393493033962171,0.002267673917899555,0.00202314919162873,0.0010074020821938755,0.00290177529696756,0.002267673917899555
2014-08-01,-0.019828103421005328,-0.017412998089884772,-0.022634369941604303,-0.024763297572399846,-0.016851328872885506,-0.017412998089884772
2014-08-08,0.006688131746751376,0.01090853552257126,0.007339390434219971,0.008341429205340012,0.01133005675901246,0.01090853552257126
2014-08-15,0.015264670247392156,0.009640750523970544,0.011358930685014321,0.012254299655166386,0.010454618930781843,0.009640750523970544
2014-08-22,0.009245268282225378,-0.00018339040153449236,0.009389324448147541,0.01091720732336992,-0.0007481311029366696,-0.00018339040153449236
2014-08-29,0.010531601465430876,0.00739255134187084,0.007714558724616839,0.006388628772266207,0.007604639444462605,0.00739255134187084
2014-09-05,-0.009811418437996752,-0.012383210110099546,-0.0075201053562895855,-0.005038228116470372,-0.013826427508589013,-0.012383210110099546
2014-09-12,-0.013035251875959036,-0.01454827199057437,-0.011681727677236053,-0.007022428293808318,-0.014095023423199453,-0.01454827199057437
2014-09-19,0.008993920240874137,0.003738398625531409,0.005933808883580392,0.006840384889445734,0.004326882674354508,0.003738398625531409
2014-09-26,-0.0010091140033259439,-0.0037264486738195594,-0.007515489428770388,-0.012528329257277239,-0.003369623823582282,-0.0037264486738195594
