Date,LSI,IRI,regime_0,regime_1,regime_2,regime_3,regime,regime_name
2020-12-04,-0.7641404425225262,-1.317012065462713,0.6441665422023944,0.30368945347688625,0.05209697246320402,4.7031857515420824e-05,1,Calm
2020-12-11,-0.6320643965341476,-0.320815000300481,0.28354432138103514,0.7088479167745481,0.007605192689877513,2.5691545393699716e-06,1,Calm
2020-12-18,-0.8868414332429704,-0.44596391352484294,0.0708220789218624,0.9279666090197072,0.0012110772085722446,2.348498581902473e-07,1,Calm
2020-12-25,-1.0303563625557015,0.5501983496514683,0.005952036362433706,0.9930481594102283,0.0009997189381745538,8.528916346778366e-08,1,Calm
2021-01-01,-0.5499376169705582,0.7863233637209646,0.024038886409114644,0.973715497338628,0.002245574174312292,4.207794517528162e-08,1,Calm
2021-01-08,-0.8526727539834152,-0.7243125950260226,0.34420712635936696,0.6542214309580787,0.0015714099487735226,3.273378083372045e-08,1,Calm
2021-01-15,-0.6241043369992509,-1.028332093649265,0.8448929938198646,0.1478028566174633,0.0073039699798321655,1.7958283998054291e-07,0,Deep Calm
2021-01-22,-0.35188462314796015,-0.9524805208843141,0.92439326103203,0.017823041450494456,0.05778114082342167,2.556694053785977e-06,0,Deep Calm
2021-01-29,0.5718120596732028,-1.4231513853978153,0.5115547263585709,3.65809016151949e-08,0.4884200734960706,2.5163564456848005e-05,2,Elevated Stress
2021-02-05,1.4696841102316514,-1.01728221394694,0.16838555333490846,4.614016301871423e-14,0.8315420851871129,7.236147793248856e-05,2,Elevated Stress
2021-02-12,0.03556027877908338,-0.6387807381225238,0.8250858792369862,0.0008427570068132481,0.17406788021908626,3.4835371142787424e-06,0,Deep Calm
2021-02-19,-0.2996552994864486,-1.692700364762602,0.9882063439539316,9.553632355329203e-05,0.011696009235240133,2.1104872750163635e-06,0,Deep Calm
2021-02-26,0.25955207452210854,-2.241078986313365,0.9942170419327916,1.1571519148264702e-08,0.005782879722677231,6.677301204787126e-08,0,Deep Calm
2021-03-05,-0.8027684431064713,-2.2557131348424546,0.9995628089376111,0.00021606728430140898,0.00022109181066825673,3.19674193608741e-08,0,Deep Calm
2021-03-12,0.025129682756525,-2.453648826167966,0.9988300297665906,5.879780465242771e-08,0.0011699075162368143,3.919367943118285e-09,0,Deep Calm
2021-03-19,-0.3126096704352472,-1.6414272470630398,0.9991721925435073,0.00011352429047991578,0.0007142590636480076,2.410236467405184e-08,0,Deep Calm
2021-03-26,-0.40915639916151697,-0.7912134940060156,0.9777763795346954,0.018687101169221666,0.0035364509926089725,6.830347390319611e-08,0,Deep Calm
2021-04-02,-0.4568112273819421,0.03194033438701227,0.8341758823205685,0.1438582299953511,0.02196521569536691,6.71988713531325e-07,0,Deep Calm
2021-04-09,0.14402572391237373,0.2292251237028904,0.7624151018153918,0.16074532691222743,0.07683348464364186,6.0866287388282535e-06,0,Deep Calm
2021-04-16,-0.6200825738609403,0.8350014996476308,0.035030041057661325,0.9516540454581502,0.013310795041246062,5.118442942344195e-06,1,Calm
2021-04-23,-0.7955724139632557,0.7433512178293535,0.0019034546629523568,0.9964743917704514,0.001621357268903866,7.962976924796911e-07,1,Calm
2021-04-30,-0.8270233000638358,0.42765462049157094,0.001149097749808225,0.9983811345477771,0.0004696981343494184,6.956806524351575e-08,1,Calm
2021-05-07,-0.5532969542231826,0.8296438105654578,0.001230904700998378,0.9979480114978523,0.0008210501910197637,3.361012957741513e-08,1,Calm
2021-05-14,-0.5866745352972171,0.20841481040651477,0.003634800096244985,0.9957020949351626,0.0006630688365363535,3.613205615965195e-08,1,Calm
2021-05-21,-0.8481974182365852,0.5008954294717077,0.0010768364107910967,0.998433947775389,0.0004891834240384179,3.2389781480848475e-08,1,Calm
2021-05-28,-0.3597016571436901,0.9978325729112927,0.001753391861589402,0.9965748970692173,0.0016716501982842434,6.087090907442969e-08,1,Calm
2021-06-04,-0.6774674043490438,0.4654953379472717,0.0038602697432980003,0.9949198841130614,0.0012197255264169062,1.2061722358440749e-07,1,Calm
2021-06-11,-0.8190928772588065,0.8225680347962283,0.02917293967991206,0.9633651562177283,0.007461639077204011,2.6502515563917105e-07,1,Calm
2021-06-18,0.1342954519737005,-0.2461864875708017,0.9317165065499508,0.014053934943174846,0.05422874508776868,8.134191057646217e-07,0,Deep Calm
2021-06-25,0.4627982029899221,-0.783235417523419,0.9461707438502754,2.491146324933074e-06,0.053819825025653995,6.939977745653727e-06,0,Deep Calm
2021-07-02,0.06130489783098042,-0.38365326560178964,0.9519822544855397,0.003593584215529239,0.044415839175648356,8.322123282746009e-06,0,Deep Calm
2021-07-09,-0.31799457976286183,-0.19094784384086635,0.7715221216684334,0.19096375256522516,0.03750683869651999,7.287069821546131e-06,0,Deep Calm
2021-07-16,-0.28876815111197074,0.5855804444891822,0.3797295415253818,0.5581579963453039,0.06210393118301079,8.53094630349435e-06,1,Calm
2021-07-23,0.07821480092017653,0.7251823417614847,0.27763162395351376,0.6359604825483015,0.08638894915623208,1.8944341952605328e-05,1,Calm
2021-07-30,-0.5665620252820832,0.580194839658325,0.09433662830721876,0.8903482335069103,0.015310029264433828,5.108921437118811e-06,1,Calm
2021-08-06,-0.45392997266760254,-0.5562043428904996,0.1412720192816927,0.8531089727392605,0.005617573469415381,1.4345096315790473e-06,1,Calm
2021-08-13,-0.7580699369352772,-0.39087656205806975,0.059212208111797136,0.9396779278447585,0.0011096665516012107,1.974918432086484e-07,1,Calm
2021-08-20,-0.7564356242857476,-0.1422828370067312,0.02332905104437245,0.9760188171161724,0.0006520947108528664,3.712860229609077e-08,1,Calm
2021-08-27,-0.5451288172362091,-0.09432960796321223,0.023191899409926175,0.9756816892679898,0.0011263758399782562,3.548210591068899e-08,1,Calm
2021-09-03,-0.8683299135670081,0.6132513515898088,0.019717034418797772,0.9787190443861062,0.0015638594697576097,6.172533835352181e-08,1,Calm
2021-09-10,-0.33409457263799414,-0.05452768160308229,0.291843279878581,0.7031529044864572,0.0050037666959630986,4.893899871541998e-08,1,Calm
2021-09-17,-0.7148367067001475,-0.4734561981617832,0.48514409586087925,0.512977557140233,0.001878317972828856,2.9026059048049092e-08,1,Calm
2021-09-24,-0.7820066676395447,-1.0614760149126814,0.8288134765724093,0.17018814491152015,0.0009983729951797274,5.520890903633896e-09,0,Deep Calm
2021-10-01,-0.22456315902721694,-1.1607537165293584,0.9965852752276253,0.002108634507534578,0.001306086369671147,3.8951689940591644e-09,0,Deep Calm
2021-10-08,-0.6838154148240969,-1.2448599434208316,0.9954954497410459,0.0038175361068120404,0.0006869843471967898,2.9804945315928744e-08,0,Deep Calm
2021-10-15,-0.14173358634828448,-0.5505947379897418,0.9887880928582544,0.004284846732647164,0.006926980647824347,7.976127404446997e-08,0,Deep Calm
2021-10-22,-0.0437948625226262,-0.15901410460483165,0.9048362139338164,0.06724263970535374,0.027919675378837428,1.470981992440967e-06,0,Deep Calm
2021-10-29,-0.5887886555685363,0.27418719675335723,0.13696178975403733,0.8525247281106004,0.010511896664334462,1.5854710278831156e-06,1,Calm
2021-11-05,-0.3215085080645321,1.2325001893545315,0.009085057828725629,0.9814195979845828,0.0094930130208389,2.331165852580989e-06,1,Calm
2021-11-12,-0.6897594306303405,0.9666332579072004,0.002582980908211105,0.9903269164091244,0.007087605693108464,2.4969895559621874e-06,1,Calm
2021-11-19,-0.6313602375466647,0.7789079279609709,0.037732250074809535,0.9306001733203421,0.031664524015345925,3.052589502457664e-06,1,Calm
2021-11-26,0.3148259319445021,-0.021093609821157794,0.7124424846204996,0.008177527014022672,0.2793727809930987,7.207372378956348e-06,0,Deep Calm
2021-12-03,-0.1805713827449679,-0.07812250979952667,0.6834735640972632,0.010084909708838616,0.30636675500816923,7.477118572893374e-05,0,Deep Calm
2021-12-10,0.9384367008814769,-0.8368984588829388,0.5388868619477171,2.2062964663001745e-09,0.46101761696186633,9.551888412010536e-05,0,Deep Calm
2021-12-17,0.5895785717141897,-0.4046278058902705,0.6063100546545696,2.042726345054576e-06,0.3936197829809466,6.811963813882404e-05,0,Deep Calm
2021-12-24,0.31684865530788286,0.029661605083849265,0.7445976278344163,0.0005315841982464749,0.25484081910879997,2.9968858537283412e-05,0,Deep Calm
2021-12-31,-0.4427304019810404,-0.21122322511478564,0.8785222530242055,0.034938930649950066,0.0865193947041261,1.9421621718298903e-05,0,Deep Calm
