,returns,returns,returns,returns,returns,returns,turnover,turnover,turnover,turnover,turnover,turnover,growth,growth,growth,growth,growth,growth,drawdown,drawdown,drawdown,drawdown,drawdown,drawdown
,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2010-12-31,0.005715291113438291,0.011112058420798928,0.0063524070294578945,0.005354624838795548,0.011317472156146004,0.011112058420798928,0.0,0.0,0.0,0.0,0.0,0.0,1.0690807262976383,1.104419129635027,1.1576225110449514,1.1831716430621948,1.0989994364485682,1.104419129635027,0.0,0.0,0.0,0.0,-0.0010384929790553388,0.0
2011-01-07,0.0006626432528635869,-0.007259472382572541,0.0010104852840233775,0.003468590652556475,-0.00794475082860215,-0.007259472382572541,0.0,0.0,0.0,0.0,0.0,0.0,1.069789145427686,1.0964016294646568,1.1587922715568164,1.1872755811636901,1.0902681597652102,1.0964016294646568,0.0,-0.007259472382572407,0.0,0.0,-0.008974993239701634,-0.007259472382572407
2011-01-14,0.008304343900580543,0.0031401413611361023,0.008715414589220838,0.010397029232360026,0.0021946900139899203,0.0031401413611361023,0.0,0.0,0.0,0.0,0.0,0.0,1.0786730423924258,1.0998444855697558,1.168891626626219,1.1996197200879164,1.0926609604080182,1.0998444855697558,0.0,-0.004142126790924849,0.0,0.0,-0.006800000553750407,-0.004142126790924849
2011-01-21,-0.005782067757084987,-0.00599759789826151,-0.006066951628955451,-0.006198793692369377,-0.005673952018353663,-0.00599759789826151,0.0,0.0,0.0,0.0,0.0,0.0,1.0724360817735719,1.0932480605946882,1.1618000176679868,1.1921835249337935,1.0864612545463348,1.0932480605946882,-0.005782067757084897,-0.010114881878250714,-0.00606695162895543,-0.006198793692369309,-0.012435369695237397,-0.010114881878250714
2011-01-28,-0.001464984400318679,-0.0015392099738764445,-0.0024829439104028053,-0.0032107110828041136,-0.0009944271961208528,-0.0015392099738764445,0.0,0.0,0.0,0.0,0.0,0.0,1.0708649796434346,1.0915653222758996,1.158915333389012,1.188355768077552,1.0853808479272824,1.0915653222758996,-0.007238581518337894,-0.011638522925055739,-0.008534831638756457,-0.00938960223956542,-0.013417430821539456,-0.011638522925055739
2011-02-04,0.0035737210227614023,0.002907275532746014,0.01589164367683118,0.018256009899367077,-0.00018017223098865283,0.002907275532746014,0.0,0.0,0.1935269625698698,0.39876447778345037,0.0,0.0,1.0746919523337253,1.0947388034297463,1.1773324029188463,1.210050402743546,1.085185292438439,1.0947388034297463,-0.0036907291665236874,-0.008765083785247096,0.0,0.0,-0.013595185604082682,-0.008765083785247096
2011-02-11,0.013251394884519764,0.009648611774521289,0.012438527831516215,0.01193786142785392,0.009473423981708771,0.009648611774521289,0.06134431194577433,0.0,0.0,0.0,0.0,0.0,1.088933119773315,1.105301513138544,1.1919766847794984,1.2244958167722173,1.095465712812423,1.105301513138544,0.0,0.0,0.0,0.0,-0.004250554579711463,0.0
2011-02-18,0.006544704559149155,0.009630963794401655,0.00872127872481429,0.009448388618851163,0.00889086378145941,0.009630963794401655,0.0,0.0,0.21703229582534575,0.4020641576221769,0.0,0.0,1.0960598653269038,1.1159466319934785,1.2023722456809405,1.236065329111239,1.1052053492422975,1.1159466319934785,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,0.0024961819754875797,0.005464028538350039,-0.0018689774494198503,-0.006046545485015524,0.007597956452640716,0.005464028538350039,0.0,0.0,0.0,0.0,0.0,0.0,1.0987958302067882,1.1220441962379666,1.2001250390679545,1.228591403876317,1.113602651357066,1.1220441962379666,0.0,0.0,-0.0018689774494198286,-0.0060465454850155975,0.0,0.0
2011-03-04,-0.005871979720615614,-0.00016969352985243043,-0.0012756751660218599,0.000633911425270627,-0.001202683926513016,-0.00016969352985243043,0.0,0.0,0.0,0.0,0.0,0.0,1.0923437233747169,1.1218537925976566,1.1985940693594945,1.2293702220042235,1.1122633393477566,1.1218537925976566,-0.005871979720615705,-0.00016969352985241049,-0.0031422684073235674,-0.00541646703401133,-0.0012026839265130151,-0.00016969352985241049
