Date,LSI,IRI,regime,regime_name
2010-07-30,-0.8254854636943016,-0.05554542596606144,2,Elevated Stress
2010-08-06,-0.11702297419159916,0.04620270746457497,2,Elevated Stress
2010-08-13,1.0522618950622484,0.36889475990236936,2,Elevated Stress
2010-08-20,0.2773007186232699,1.2857158210855233,2,Elevated Stress
2010-08-27,0.24707469152241152,1.2401509139496896,2,Elevated Stress
2010-09-03,1.3686936642604635,0.8272092053893686,2,Elevated Stress
2010-09-10,-0.589003968629835,0.48717492345617114,1,Calm
2010-09-17,-0.793697382303855,0.009803365586782442,1,Calm
2010-09-24,-0.2539878739720731,0.5358130268266238,1,Calm
2010-10-01,-0.9762166919135601,1.1817098664492807,1,Calm
2010-10-08,-0.354848307565875,1.6173877398691658,1,Calm
2010-10-15,-0.7261134954225893,0.9672107727341344,1,Calm
2010-10-22,-1.2429098040079427,0.21386230964674485,1,Calm
2010-10-29,-1.549298997337588,-0.010687862209537838,1,Calm
2010-11-05,-0.16436242859895026,-0.41483202629763505,0,Deep Calm
2010-11-12,-0.10535619420693287,-0.8192886213371473,0,Deep Calm
2010-11-19,-0.7622711529134767,-0.5080866728374346,0,Deep Calm
2010-11-26,0.06268434971833091,-0.8133596032567897,0,Deep Calm
2010-12-03,0.8430492626578991,-0.7361738764446203,0,Deep Calm
2010-12-10,-0.30966391694508816,-0.3615428285939813,0,Deep Calm
2010-12-17,-0.6879491341131146,-0.43389222948098155,1,Calm
2010-12-24,-0.8010080064565801,-0.3880160233263102,1,Calm
2010-12-31,-1.2331980526793072,0.029352982087360865,1,Calm
2011-01-07,-1.010897036666672,-0.2395371974687606,1,Calm
2011-01-14,-0.9504445185531393,-0.26700617009107946,1,Calm
2011-01-21,-1.0618755418111492,-0.5882561249919847,1,Calm
2011-01-28,-1.1820280681613515,-1.296755072510374,1,Calm
2011-02-04,-0.21615371775277706,-0.9676252380391649,0,Deep Calm
2011-02-11,-0.5305527534592819,-0.47467255113426293,0,Deep Calm
2011-02-18,-0.7928636771845249,0.23542261270010717,1,Calm
2011-02-25,-0.16128294911396054,0.9105140058757561,1,Calm
2011-03-04,-0.6537986189012903,1.2436268445359306,1,Calm
2011-03-11,-0.21448799702547208,0.9041749129462022,1,Calm
2011-03-18,0.23443479685856836,0.7924578912118604,2,Elevated Stress
2011-03-25,0.6515718701089669,0.0012248730307634409,2,Elevated Stress
2011-04-01,0.21697697192362,0.026797807582439655,2,Elevated Stress
2011-04-08,-0.6019989179152799,0.3786810320439433,1,Calm
2011-04-15,-0.6062091515478106,0.6539380558653768,1,Calm
2011-04-22,-0.5484508912487578,0.9284520318210446,1,Calm
2011-04-29,-0.23742551163134157,1.8419037636951074,1,Calm
2011-05-06,0.1552047011451396,0.9127481992187235,1,Calm
2011-05-13,-0.652511468674522,0.5020093240862459,1,Calm
2011-05-20,-0.5730172538264838,0.5408950957756984,1,Calm
2011-05-27,-0.8825590362773859,0.07100321176513137,1,Calm
2011-06-03,0.11254043613938974,0.4779964702015888,0,Deep Calm
2011-06-10,0.2981013422113855,0.3310090435628861,0,Deep Calm
2011-06-17,-0.18729435206137057,0.055586760549501235,0,Deep Calm
2011-06-24,-0.4508645063427452,-0.6335634382599087,0,Deep Calm
2011-07-01,1.5149500253511234,-1.236897254160498,2,Elevated Stress
2011-07-08,-0.5923531994916308,-0.02289432906672756,2,Elevated Stress
2011-07-15,0.21614993372475533,0.5617008566032162,2,Elevated Stress
2011-07-22,0.27254193074063426,1.0373974275903677,2,Elevated Stress
2011-07-29,1.3657308566888893,1.9165778343413091,2,Elevated Stress
2011-08-05,3.785433725366099,1.3290594650166323,3,Crisis
2011-08-12,2.162533959852458,2.170215931321615,3,Crisis
2011-08-19,3.0869310939626637,3.6983283804309894,3,Crisis
2011-08-26,3.7308144983645963,2.655278027083645,3,Crisis
2011-09-02,0.881530739685411,3.4966737868106095,3,Crisis
2011-09-09,1.119439521033658,2.1227779663964257,2,Elevated Stress
2011-09-16,1.300984799448507,-0.23947823034686516,2,Elevated Stress
2011-09-23,2.9942924400526993,-0.23126786304157512,2,Elevated Stress
2011-09-30,1.26455444771435,-1.7358289217490355,2,Elevated Stress
2011-10-07,1.6459167393546643,-1.8853450154348266,2,Elevated Stress
2011-10-14,2.598334215619469,-1.1880747210255518,2,Elevated Stress
2011-10-21,-0.826819500425021,-0.8223245770551285,1,Calm
2011-10-28,-0.829679064273611,0.6024294791793573,1,Calm
2011-11-04,-0.01273242536051364,1.4372797037771323,1,Calm
2011-11-11,-0.18199649794262818,1.3658630047204545,1,Calm
2011-11-18,1.8352731797627873,1.2357900454368933,2,Elevated Stress
2011-11-25,2.611758286112787,-0.3973037247966198,2,Elevated Stress
2011-12-02,3.543696183184199,-0.36009355036372726,2,Elevated Stress
2011-12-09,1.01722760934623,-0.7132037426744058,2,Elevated Stress
2011-12-16,1.6552825888982596,-0.8099870699604942,2,Elevated Stress
2011-12-23,0.7559600791452024,-0.4210088252340335,2,Elevated Stress
2011-12-30,-0.28057881476007795,-1.1702123728080838,0,Deep Calm
2012-01-06,0.3704220825882112,-0.5599556165375821,0,Deep Calm
2012-01-13,-0.5174625979727117,0.34391819264162804,1,Calm
2012-01-20,-0.10179061631961925,0.3246443706912838,1,Calm
2012-01-27,-1.1577338878713719,1.4222808100693576,1,Calm
2012-02-03,-0.4881414565737777,0.7489084613631257,1,Calm
2012-02-10,-1.148619428377176,0.3541614432327153,1,Calm
2012-02-17,-0.5849533047485413,0.4748573560408149,1,Calm
2012-02-24,-1.0517528346198366,0.2799453403102724,1,Calm
2012-03-02,-1.1360860014002099,-0.015310560435951371,1,Calm
2012-03-09,-1.2516133789247876,-0.19665363418738435,1,Calm
2012-03-16,-0.7353105385880319,-1.3909555353572765,0,Deep Calm
2012-03-23,-1.196724720385636,-1.780166100207734,0,Deep Calm
2012-03-30,-1.0005192877641487,-1.2233784636396277,0,Deep Calm
2012-04-06,-0.7616555578456601,-1.4813977997559566,0,Deep Calm
2012-04-13,0.03360294572576458,0.5303532132682087,0,Deep Calm
2012-04-20,-0.5341886460389951,0.2529046471116607,0,Deep Calm
2012-04-27,0.003124228189347601,0.555981625743699,0,Deep Calm
2012-05-04,0.2817928125129497,0.8245323763937286,0,Deep Calm
2012-05-11,-0.449291085834312,-0.3685001220584596,0,Deep Calm
2012-05-18,1.7417980225797691,-0.09850297060679765,2,Elevated Stress
2012-05-25,0.8234484122464376,-0.5352506804066033,2,Elevated Stress
2012-06-01,1.8381807910113204,0.7089174029744424,2,Elevated Stress
2012-06-08,1.9792608685490714,0.43316284321660903,2,Elevated Stress
2012-06-15,-0.167003597693293,0.7449927569166643,1,Calm
2012-06-22,-0.559524492365599,0.40737837277075084,1,Calm
2012-06-29,-1.081656463603204,-0.41328277430590094,1,Calm
2012-07-06,-1.0763512559096817,0.2508940576036025,1,Calm
2012-07-13,-1.1207411014507003,0.11940232446665403,1,Calm
2012-07-20,-0.7761530612743929,0.7924978371079209,1,Calm
2012-07-27,-0.45404181158099366,0.6157604476161309,1,Calm
2012-08-03,-1.0753945673855982,0.24484194117114214,1,Calm
2012-08-10,-1.0414798415029132,-0.15659472889226392,1,Calm
2012-08-17,-1.3187779283520595,-0.7903350255784238,1,Calm
2012-08-24,-1.1552631562900348,-0.0353577999290554,1,Calm
2012-08-31,-1.0206128423395446,0.9343382893998312,1,Calm
2012-09-07,-0.23271815504500573,0.8167886665969997,1,Calm
2012-09-14,-0.5177401002316616,1.201830592838043,1,Calm
2012-09-21,-0.6877817769441651,0.5848099770652039,1,Calm
2012-09-28,-0.5780855299797159,0.2238799243528872,1,Calm
2012-10-05,-0.40895317781385876,-0.0772144703032518,1,Calm
2012-10-12,0.3923636133837471,0.290366862661566,0,Deep Calm
2012-10-19,-0.6968966602352252,-0.5351063436272158,0,Deep Calm
2012-10-26,-0.4395292323060428,-0.8551176160817243,0,Deep Calm
2012-11-02,-0.9259757693424638,-0.8745154524961503,0,Deep Calm
2012-11-09,0.19359650132901166,-0.3017054605639154,0,Deep Calm
2012-11-16,-0.02275510711594808,0.07661253426933101,0,Deep Calm
2012-11-23,1.0255830451963757,0.2508485865255091,2,Elevated Stress
2012-11-30,-0.08498861528455659,0.5480584780116687,2,Elevated Stress
2012-12-07,-0.8592711847853949,-0.4154877971202289,1,Calm
2012-12-14,-1.146796390261217,-0.33591779110363296,1,Calm
2012-12-21,-1.484302793390488,-1.0672187407875346,1,Calm
2012-12-28,-0.8255404586450055,-0.8347118083223112,1,Calm
2013-01-04,0.5946015338696485,-1.3023414858264901,0,Deep Calm
2013-01-11,-0.7013268385329919,-0.7368054075044703,0,Deep Calm
2013-01-18,-0.425940357440661,-0.002257319928721539,1,Calm
2013-01-25,-0.785638883620925,-0.5748964474264129,1,Calm
2013-02-01,-1.0758198999413806,-0.4933462033393723,1,Calm
2013-02-08,-1.0740968600043854,-0.5312113157926242,1,Calm
2013-02-15,-1.2434831531313066,-1.3842108504278128,1,Calm
2013-02-22,-1.2255349645815041,-1.0685710290656614,1,Calm
2013-03-01,-1.2470578716279757,-0.4708704556349338,1,Calm
2013-03-08,-0.6252329901018802,-1.2132294441755143,1,Calm
2013-03-15,-1.1159063140690058,-0.23463010713286822,1,Calm
2013-03-22,-0.9803437650830001,0.308764812131898,1,Calm
2013-03-29,-0.9627267962534737,0.0533005752544873,1,Calm
2013-04-05,-0.3423629759930583,0.9083310151316938,1,Calm
2013-04-12,0.06520872509203635,-0.3246587150483644,0,Deep Calm
2013-04-19,0.0866484454384342,-1.548823242049513,0,Deep Calm
